id,name,description,neighborhood_overview,zipcode,latitude,longitude,property_type,amenities_id,room_type,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,review_id,host_id
953595,Bright & Airy Queen Anne Apartment,Chemically sensitive Weve removed the irritants triggering allergy or asthma attacks like carpeting forced air  used pillows all culprits that harbor fungus mold  bacteria  No smoking no pets  Designed for healthy living so breathe easy Beautiful hypoallergenic apartment in an extremely safe quiet and pedestrianfriendly section of Queen Anne  A leafygreen location that puts the best of Seattle at your doorstep Free WiFi free parking even free pillows  Whats special about this place Hypoallergenic bedding mattressescovers and new pillows with each rental So feel free to take your new pillows with you  A beautiful restoration mixing period details  modern sensibilities Hardwood floors throughout white subway tile lowno VOCs  nontoxic paints keep this homeawayfromhome clean smart and healthy Radiant heat and oil radiators mean no blowing hot air or dust  Great Amenities Free WiFi  internet TV LED flatscreen Fullyequipped kitchen with st,Queen Anne is a wonderful truly functional village  You can walk everywhere for coffee for groceries for a night out for breathtaking views of the Puget Sound,98119,47.63912312136253,-122.36566646439582,Apartment,1013,Entire home/apt,4,1.0,1.0,$150.00,2,90,t,13,13,16,291,0,5177328
3308979,New Modern House-Amazing water view,New modern house built in 2013  Spectacular sunsetwater views and light rooftop deck and lounge area hot tub 5 bedrooms gourmet kitchen  Perfect for 23 families walk to downtown  Located in highly desirable Queen Anne neighborhood Our house is modern light and fresh with a warm simple palette accented with barnwood steel and concrete  Open living spaces for entertaining gourmet kitchen deck off the kitchen reading nook half bath and smaller tv room off kitchen  Fireplace with sofa and sitting area Basement room is great for kidsthis room has patio access and a garage door that opens into the space with basketball hoop right outside  A queen bedroom and full bath are in the basement with concrete heated floors  A queen sleeper sofa is in the tv area in the basement  This room has a door if privacy is needed  Great for a second family with kids  The 2nd floor has 4 bedrooms one queen in master one twin bedroom another bedroom has twin bunk beds and the last,Upper Queen Anne is a charming neighborhood full of a mix of beautifully maintained turnofthecentury craftsman homes tudors and modern homes  The main drag is Queen Anne Ave with a great selection of boutiques restaurants coffee shops and bars  Upper Queen Anne is just 15 miles from downtown Seattle and situated on a hilltop with stunning panoramic views in every direction  downtown Seattle the Space Needle and Mt Rainier to the southeast Elliott Bay to the southwest the Olympic Mountains to the west and the Cascade Mountains to the east If youre a walker youll love the 4mile Crown of Queen Anne loop which takes in all of these views,98119,47.62972413157736,-122.3694831756176,House,1022,Entire home/apt,11,4.5,7.0,$975.00,4,30,t,1,6,17,220,0,16708587
278830,Charming craftsman 3 bdm house,Cozy family craftman house in beautiful neighborhood of Queen Anne Seattle Washinton 3 bedrooms can accomodate up to 6 people 1200 sq feet space is your oasis Perfect location Cozy family craftman house in beautiful neighborhood of Queen Anne Seattle Washinton 3 bedrooms can accomodate up to 6 people 1200 sq feet space is your oasis Perfect location walking distance to Whole Foods Market a 7 minute drive from the Seattle Center Space Needle chihuly garden and glass Childrens Museum Key Arena Across the street from golf course 2 min walk Relax sun bath and watch the ferry boats go by on the large outdoor deck with a view of Elliot Bay   Internet cable TV with HBO 3 bedrooms and 2 bathrooms each equipped with a bed for 2 King Queen Queen Washer and dryer in the unit Fully stocked kitchen with high end AllClad cookware For your peace of mind we have provided a first aid kit and an emergency kit equipped with water and food We are always available ,We are in the beautiful neighborhood of Queen Anne on 14th Ave W A 5 minute walk from Whole Foods Market  Take a 5 minute drive south or north and find yourself in the lively neighborhood of Belltown or charming neighborhood of Ballard respectively Upper Queen Anne shops and restaurants are a 20 minute walk or a quick 5 minute drive up the hill  The Seattle Center The Space Needle the Childrens Museum EMP Pacific Science Center Chihuly Garden and Glass is a 7 minute drive ,98119,47.63291840276724,-122.37247063402224,House,976,Entire home/apt,6,2.0,3.0,$450.00,1,1125,t,30,60,90,365,0,1452570
5956968,Private unit in a 1920s mansion,Were renting out a small private unit of one of Seattles most beautiful houses to creative travelers  The unit has its own entrance to give you privacy in a cozy room with a new bed great viewlight antiques and a newly remodeled bathroom If you include a bit of your background in your housing request youll get a better chance to have it accepted  If youre an artist or musician wanting some more space to create let me know As far as the physical space the room and bathroom are separate from the rest of the house so youll have as much privacy as you wish  It doesnt have a TV but hopefully youll find more interesting things in Seattle to take your time Youll get a passcode for the garage through which you get private and exclusive access to your unit I work mostly from home and happy to give advice on ways to enjoy Seattle and its surrounding areas  If you let me know your schedule I could see if we have overlap This part of Queen Anne has wonderful views and qu,This part of Queen Anne has wonderful views and quiet streets with parking  There are several beautiful places to walk nearby,98119,47.63052548240193,-122.36617406518856,House,409,Private room,2,1.0,1.0,$120.00,1,6,t,0,0,27,302,0,326758
1909058,Queen Anne Private Bed and Bath,Enjoy a quiet stay in our comfortable 1915 Craftsman bungalow in the West Queen Anne neighborhood Street parking free near entry coffee bakeries and neighborhood cafes nearby  Close to Upper QA shopping district Seattle Center and bus stops Enjoy a quiet stay in our comfortable 1915 Craftsman bungalow in the West Queen Anne neighborhood Street parking free near entry coffee bakeries and neighborhood cafes nearby  Close to Upper QA shopping district Seattle Center and bus stops Come and go as you wish through a separate entry with large foyer and covered exterior porch  Parking on 10th Avenue West adjacent to entry is convenient and free The room and bath are isolated from the rest of the house for your peace and privacy The bedroom has a memory foam top double bed with comforter pillows large closet dresser and desk task light   The bathroom has a pedestal sink and foot claw foot tubshower The large 5 tub is perfect for soaking your cares away  We provide be,Close restaurants coffee shops and grocery stores all in easy walking distance from our house,98119,47.63660544532006,-122.36851905844937,House,409,Private room,2,1.0,1.0,$80.00,3,14,t,20,49,71,346,0,2497928
856550,Tiny Garden cabin on Queen Anne  ,Our tiny cabin is private  very quiet and comfortable spot just for two The bus is just across the street Queen Anne Ballard and Downtown are a short bus ride High Speed WIFI The bathroom is shared by our guests   This cabin was built with Airbnb in mind Queen bed with gel foam topper 110 heat with thermostat  Cherry hardwood floors  Oak bed frame and night stand  This cabin is very well insulated and is warm and quiet  The bathroom and shower is located in our house just a few steps away There is plenty of street parking all around us Bus line just a half block away Just a ten minute bus ride to Pike Place Market Private large back yard we have chickens that live there too In the spring and summer the garden is a sight to see If you want a private stay in a nice space this is it Food within walking distance sculpture park is pretty close as well  What you get  your own private space use of a shared bathroom for our guests we have our own  our back yard and ,We are centrally located between Downtown and ballard with a Whole Foods right across the street,98119,47.64016054121466,-122.37585597885769,Cabin,191,Private room,2,1.0,1.0,$60.00,2,7,t,22,42,42,100,0,4016632
4948745,Urban Charm || Downtown || Views,Nestled in the heart of the city this space is turn of the century charm meets urban living with gorgeous city views nightlife shopping and restaurants within blocks  Walking Score 92 Located in the heart of the city this space is turn of the century meets urban living with offstreet privacy and a yard Full Apartment Garden area patio and yard Laundry room Im available as much or as little as you wish for the duration of your stay  Im happy to give you recommendations and insider tips on this great city Walking Score 92 4 blocks from Kerry Park Famous Seattle restaurants within 1 block The hill became a popular spot for the citys early economic and cultural elite to build their mansions and the name derives from the architectural style typical of many of the early homes According to Wikipedia Queen Annes demographic is powersingles young unmarried professionals It boasts a bustling main street with restaurants bars shopping coffee shops farmers market Trad,Walking Score 92 4 blocks from Kerry Park Famous Seattle restaurants within 1 block The hill became a popular spot for the citys early economic and cultural elite to build their mansions and the name derives from the architectural style typical of many of the early homes According to Wikipedia Queen Annes demographic is powersingles young unmarried professionals It boasts a bustling main street with restaurants bars shopping coffee shops farmers market Trader Joes and the famous Molly Moons Ice Cream,98109,47.63241029982899,-122.35721606914028,Apartment,1022,Private room,2,1.0,1.0,$90.00,3,1125,t,6,36,66,341,0,2166277
2493658,Airy + Bright Queen Anne Apartment,Beautiful apartment in an extremely safe quiet and pedestrianfriendly section of Queen Anne  A leafygreen location that puts the best of Seattle at your doorstep Free WiFi free parking even free pillows  Whats special about this place A beautiful restoration mixing period details  modern sensibilities Hardwood floors throughout white subway tile lowno VOCs  nontoxic paints keep this homeawayfromhome clean smart and healthy Radiant heat and oil radiators mean no blowing hot air or dust  Hypoallergenic bedding mattressescovers and new pillows with each rental Thats right theyre yours to keep so feel free to take your new pillows with you  More on this below  Great Amenities Free WiFi  internet TV LED flatscreen Fullyequipped kitchen with stainlesssteel appliances sink  disposal Large washer  dryer  Ironironing board Hairdryer Plenty of storage Convenient parking both on and offstreet The Best Location Enjoy Seattles celebrat,Queen Anne is a wonderful truly functional village  You can walk everywhere for coffee for groceries for a night out for breathtaking views of the Puget Sound  ,98119,47.63749172022628,-122.3668885909212,Apartment,1013,Entire home/apt,4,1.0,1.0,$150.00,2,365,t,6,19,49,324,0,5177328
175576,Private Apartment - Queen Anne Hill,Queen Anne Hill is a charming neighborhood with historic old homes located just up the hill from The Seattle Center close enough to be convenient to everything yet just far enough away from the traffic hubbub and commotion of downtown Be close to everything  Queen Anne Hill is a charming neighborhood with historic old homes located just up the hill from The Seattle Center close enough to be convenient to everything yet just far enough away from the traffic hubbub and commotion of downtown Your basement apartment in our home on Queen Anne Hill is just minutes from The Seattle Center The Space needle Pacific Science Center IMAX Theater Experience Music Project International Fountain Seattle Repertory Theater Pacific Northwest Ballet Seattle Childrens Theater and the Gates Foundation complex next door Eileen walked home from work every evening right past the Seattle Center Plus Seattle Pacific University is on the other end of The Hill  Your private basement apar,Queen Anne Hill is a wonderful and historic area of Seattle with amazing views From the street that rings the top of the hill one can view Mt Rainier the Space Needle and downtown Seattle Elliot Bay the Olympic Mountains Lake Union and the Cascade Mountains Bring your camera,98119,47.63548170841016,-122.35847776162176,House,1022,Entire home/apt,2,1.0,1.0,$95.00,3,7,t,0,0,0,153,0,239585
4454295,Upper Queen Anne Craftsman House,Beautifully furnished cozy 1 bedroom mid century modern Craftsman house in Upper Queen Anne 850 sqft  queen sz bed large closet huge dining table comfy living room bathtub fully furnished kitchen outdoor patio VERY walkable neighborhood Beautiful home in an extremely walkable neighborhood with restaurants coffee shops bars stores Just blocks away from bus stops Convenient to downtown Seattle Center the Space Needle Ballard Fremont I will likely not be present during your stay but will have a friend or family member available in my absence I am located in the Upper Queen Anne neighborhood  Seattles oldest and most historic neighborhood Yes bus stops just 23 blocks away,I am located in the Upper Queen Anne neighborhood  Seattles oldest and most historic neighborhood,98119,47.63721407513561,-122.3600457614146,House,856,Entire home/apt,2,1.0,1.0,$99.00,3,1125,t,21,21,21,229,0,4606439
